address,chain,type,confidence,evidence
0xD0cC2B24980CBCCA47EF755Da88B220a82291407,ethereum,scam,medium,"myelherwallel.com"
0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,ethereum,scam,medium,"etherswap.org"
0x00e01A648Ff41346CDeB873182383333D2184dd1,ethereum,scam,medium,"myethwallet.net"
0x858457daa7e087ad74cdeeceab8419079bc2ca03,ethereum,scam,medium,"myethwallet.net"
0x240e125c20a4cC84Bd6E7F8D1FD07Aff4c06D43d,ethereum,scam,medium,"district-0x.io"
0x2268751eAFC860781074D25f4bD10DED480310B9,ethereum,scam,medium,"district0x.net"
0xadF5b0c2103598fb66a61714152F1d1717D49FE0,ethereum,scam,medium,"contribute-status.im"
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,ethereum,scam,medium,"ethereumchamber.net"
0x2b065809f6ec6df32878bcd26711a0e2bcf59c26,ethereum,scam,medium,"myetherwallet.com.de"
0x42c5459911ae51d1d005cbe39749bd8d8e533c22,ethereum,scam,medium,"myetherwallet.com.im"
0xcdd1c19dcc3f473eaef6edb0a28e1e796d6e1767,ethereum,scam,medium,"myetherwallet.com.im"
0x11c058c3efbf53939fb6872b09a2b5cf2410a1e2,ethereum,scam,medium,"myetherwallet.us"
0x2dfe2e0522cc1f050edcc7a05213bb55bbb36884,ethereum,scam,medium,"myetherwallet.us"
0x1c6e3348a7ea72ffe6a384e51bd1f36ac1bcb426,ethereum,scam,medium,"myetherwallet.us"
0xed2d26eed06ecfbfd796d1ec551d2a649a31e576,ethereum,scam,medium,"myetherwaillet.com"
0x1D60606d8A09b5015D773A80b0C660Bb8d91809c,ethereum,scam,medium,"myetherwallet.com.cm"
0xBa83e9Ce38b10522e3d6061A12779B7526839eda,ethereum,scam,medium,"myetherwallet.im"
0xf73EF0650415656B51Be39bD5D37CF5cE03f4033,ethereum,scam,medium,"myetherwallet.tech"
0xedf202629bb7e9f72d4c62c325d198513fa7a3d3,ethereum,scam,medium,"myetherwallet.tech"
0x33F74739ce6bE3B2c38AF76F5aDB3866CB4784c4,ethereum,scam,medium,"myetherwallett.com"
0xaa1886de3f70a3ef502ea1379a311c5b4e05f3fd,ethereum,scam,medium,"myaetherwallet.com"
0x85f3e26a776c06338722d263406f260dcd79962e,ethereum,scam,medium,"xn--mythrwallt-yq3ecf.com"
0xf9fe85e19bd533c69067c6e2ff02727d40a54100,ethereum,scam,medium,"ethermixer.com"
0xf0a924661b0263e5ce12756d07f45b8668c53380,ethereum,scam,medium,"ziber.io"
0x4423b4d5174dd6fca701c053bf48faeaaaee59f0,ethereum,scam,medium,"ziber.io"
0x89C98CC6D9917B615257e5704e83906402f0f91f,ethereum,scam,medium,"OmiseGO.com"
0x4a0d27a1044dd871a93275de5109e5f5efc4d46e,ethereum,scam,medium,"OmiseGO.com"
0x3681828DA105fC3C44E212f6c3Dc51a0a5A6F5C6,ethereum,scam,medium,"OmiseGO.com"
0xe4fa5149306b12d51dc0d04e5e95bc9704ccaad7,ethereum,scam,medium,"OmiseGO.com"
0x1e80dad60d19fb8159af3f440a8ceaa0e5581847,ethereum,scam,medium,"OmiseGO.net"
0x52b7c8857Be3853fA68e09D9Ba7a9ADf075040eA,ethereum,scam,medium,"unocoin.fund"
0x3b0009071a0a9983e9aab537fd8c9ad478310aeb,ethereum,scam,medium,"decentraland.pro"
0xc38d14bf89e0001260bb349a006d7e491e5f43ad,ethereum,scam,medium,"decentraland.pro"
0x4Bf722014E54AeAB05fcF1519E6e4C0c3F742e43,ethereum,scam,medium,"status-token.com"
0xD9932453997ddF36fE114C9F22beBb9eE77b2921,ethereum,scam,medium,"myethwallet.io"
0x68B0e0Db7918C0211EA1fB78292a879839137DD0,ethereum,scam,medium,"tenxpay.io"
0xF902AA3a62F9E28878129E1A8f1EB71E4FD7a88C,ethereum,scam,medium,"wallet-ethereum.net"
0x1086fEeb031e45e8FCD770662Aa8302d7C23ba1F,ethereum,scam,medium,"myehterwallet.co"
0x685445fE51B31790538890A6468851AfbF7a0519,ethereum,scam,medium,"statustoken.im"
0xc5d65deff5d1373f8b19aa8be528e9c3599013ba,ethereum,scam,medium,"kickico.co"
0x6fcf42fcd9c6a54b64d1b52083700142952a2805,ethereum,scam,medium,"monetha-crowdsale.com"
0xda657e9fa116900fab8178e5580a3a6cedd89f3c,ethereum,scam,medium,"omise-go.io"
0x44A7fF01f7d38c73530C279e19d31527Bdcf8c78,ethereum,scam,medium,"monetha.me"
0x1de23F02E185fDc4f6BACc98D6c6419370E38538,ethereum,scam,medium,"etnerscan.io"
0x6506827D91659e871fc7267160ba1C3407195270,ethereum,scam,medium,"etherdelta.gilthub.io"
0xf1e250F2a27ab7eC5B82B287F2799260448CD51D,ethereum,scam,medium,"dmarket.ltd"
0xFBF6F29c126382cf15795bB209EE506a174cC709,ethereum,scam,medium,"herotoken.co"
0x7CBC4E0D168744912C5Afc081499145BBDc51e69,ethereum,scam,medium,"etherdelta.githulb.io"
0x57b818a1070373e21fcedf48d4368e1703c75852,ethereum,scam,medium,"herotokens.io"
0x3fcb2d173389b7cd8079ef8b439dbd92e7e0ae28,ethereum,scam,medium,"aventus.group"
0x8369F6723C4792b41d4AF4190662269431Ee5B0b,ethereum,scam,medium,"iconexus.social"
0x57d02550f47dd932d2fb84e0aa883c9d8d53c313,ethereum,scam,medium,"vlberate.io"
0x4999924fD714092FE92cA9A792a8549f798c1Dc2,ethereum,scam,medium,"monetha.ltd"
0xF8E676094628776690DBf83fa31f08aA14FD3fb8,ethereum,scam,medium,"kirkik.com"
0xc4b51a247514901faf1b6b1da9f0836066e64407,ethereum,scam,medium,"the-ether.pro"
0xCbCD4b518890429C0Ffef3d782eD99b3ADFF009b,ethereum,scam,medium,"linknetwork.co"
0xaD0C88F3313ABbce2185597E87A15f764e948A46,ethereum,scam,medium,"kin-crowdsale.com"
0x5d3f32f4b2e99fb79d2f6a1cbf3aa7390f8fc751,ethereum,scam,medium,"kin-klk.com"
0xd821dfb705333d2c16e0c0c0be75ce360cca566a,ethereum,scam,medium,"bitj0b.io"
0x052f585fa599bfb4bed290ff30c057627ccd8059,ethereum,scam,medium,"red-pulse.tech"
0x7fBf068316C5806A62D549441ae82b00Fdb10dE1,ethereum,scam,medium,"ico-nexus.social"
0x2D4498a2CF71F5b0946f0ebcfff97ca9D0cd5D04,ethereum,scam,medium,"enigma-tokens.co"
0xbe3364dfb8158A3e452FF96AEb247BF3f5F019B5,ethereum,scam,medium,"change-bank.co"
0x1E75f03fF928BCA6c1692179679AFC0223d7824F,ethereum,scam,medium,"change-bank.co"
0x7a18cfc4a36e48163034e51a9ed19d4bdea05f6f,ethereum,scam,medium,"tokensale.kyber.digital"
0x7C203685291149D5dAd4308781F42A6B945dF4E1,ethereum,scam,medium,"pyro0.github.io"
0x5e5d6f6706420f932d796c0f28a83b26dabcfd8d,ethereum,scam,medium,"kyber-network.co"
0x8b3b831d767FAD1ab0ad52A38777acb98630F8a7,ethereum,scam,medium,"kin.kikpro.co"
0x008f3Db10374099A11ec263415Cb88C952AbEEDc,ethereum,scam,medium,"kybernet.network"
0x4da9608F15c504a2B5C46491d9CCF257c5E2FF71,ethereum,scam,medium,"change-bank.io"
0x34743FFA1f93e745668725e44EFEb3C50A237796,ethereum,scam,medium,"charge-bank.com"
0x8eE2Ba41EF59b5773e5909451e0b8BaD4E59A81b,ethereum,scam,medium,"change-bank.org"
0x1c50139c266559b29d7cb27635e0da13bef76a09,ethereum,scam,medium,"smartcontractlink.com"
0xaff9e40f9b245b15a1d1bb45516ca213e682fa81,ethereum,scam,medium,"centra.credit"
0xE9aa3A74E3D62274f221ECa42736cAdC14CcfFaF,ethereum,scam,medium,"air-token.com"
0xca4da1753336aa8340710e0E1a8c0BEE2bFbF56C,ethereum,scam,medium,"icon.community"
0xabc490af011C8E354B7D2112648883fe9E511695,ethereum,scam,medium,"smartcontract.live"
0xfAd17C9da2beBF758e3BC0c99D1aBe8Af7e96eD1,ethereum,scam,medium,"centra.vip"
0xFC74FB0D5df08EC546a3DA18CCc7FBcBe031F5D8,ethereum,scam,medium,"iconn.foundation"
0x62eE4A3C690C9660762c52BF1a232365C86C879B,ethereum,scam,medium,"cobinhood.org"
0xB116D83C919d6661dc20246D312B702f0cDf297C,ethereum,scam,medium,"reall.markets"
0x7e3d7D8E31b3F472FCD3C1552a9F009131C50C6C,ethereum,scam,medium,"omisegotoken.com"
0x29e225d888cf11c5e67613bffd30bcf071eb3d4a,ethereum,scam,medium,"omisegotoken.com"
0x6d0b90ea2951ca5ad3abdb606e4146e9765f1ee4,ethereum,scam,medium,"omisegotoken.com"
0x64f3502c4b6b7e7f106e7ab1f175a4e2c2fde45f,ethereum,scam,medium,"omisegotoken.com"
0x854b62b692aC8411C3a45463c44CBdAbAC2D6913,ethereum,scam,medium,"kinkik.in"
0x37D0909CC7eC38F2d966092Ea3607F77bC6bc008,ethereum,scam,medium,"eventchain.co"
0xd92559E1F1d2E84F4964F45256693D03833D7D44,ethereum,scam,medium,"protostokenhub.com"
0x17BD6f815fB71a77dc20E12177c4d763A3f67632,ethereum,scam,medium,"cindicator.pro"
0x143494359bBACC878308075C1c9FA05fcda96651,ethereum,scam,medium,"real-markets.io"
0x920aDc9A060cdA345fdEc2fdeBAd6EBF38eDf83D,ethereum,scam,medium,"cobinhood.io"
0xbcc6c0fef89b87a12773db7a9a8ecbccccdb7aff,ethereum,scam,medium,"enjincoin.sale"
0xf9a5139E42c3ca13D5b24D23ab2B18C278805Dc4,ethereum,scam,medium,"wanchain.network"
0x8cF893F11f6037B14f0f827B9ed6AEef38931Fb4,ethereum,scam,medium,"enijncoin.io"
0x893676c4A94F6EcdC33a18438BBdCfE9e6c68a9a,ethereum,scam,medium,"smartlands.tech"
0x05Dd62c007CDe143B402fA5Da3937C40c70b4B14,ethereum,scam,medium,"enjincoin.me"
0x0Dcc89F3091d3EF66E00Fb595Ed0FaFEf4434192,ethereum,scam,medium,"etherparty.in"
0x2A7D04018D7295D8069Ec9721eE415c4Bdc57909,ethereum,scam,medium,"wanchains.org"
0x1c2FB401D3Dc4fd8131ccFc4589F281D58921402,ethereum,scam,medium,"warchain.org"
0x88698a2ff09506596a88a1af9d103a420ba46a3e,ethereum,scam,medium,"vvanchain.org"
0x05E3650Bfc907Cc1b3C774F0c053C8B990ce1A4b,ethereum,scam,medium,"soam.co"
0x801D03f4d053242aFbc2949c141BAB4270Ca6707,ethereum,scam,medium,"upfirng.com"
0xB71dF0DbbB9754c1aa9115253F4eBb7EF3f8a57c,ethereum,scam,medium,"enjincoin.pw"
0x8374aa52Bf36EaBcA06E33c4163A081F53e39Aa3,ethereum,scam,medium,"requestnetwork.live"
0x49311A81F5F5dF6C109599Ed5d7413d85b8bcA18,ethereum,scam,medium,"request-network.net"
0x3AA65f17cdE339dF49AFd2F88B3C8495842D5FB0,ethereum,scam,medium,"omegaone.co"
0x37c81cc9ff71d0f97849a947bf22e8e529b72230,ethereum,scam,medium,"myehterwaliet.com"
0xef57aa4b57587600fc209f345fe0a2687bc26985,ethereum,scam,medium,"worldofbattles.io"
0xB7c4A4341c0A03460B6ceC4fa997dD2D748Ce281,ethereum,scam,medium,"stormxtoken.com"
0x3639b8B8edA816B2cb62b65159A183972a3cf863,ethereum,scam,medium,"ralden.network"
0xd3d7c71e4c5b1ff2f42fbb9b4a21f3373aa8b3b0,ethereum,scam,medium,"raidan.network"
0xAF31bf4Fa017768E6426308Cf17E16d633700265,ethereum,scam,medium,"riden.network"
0xd055610c2d5151aDb3eaF994e08aBe45DeE936E0,ethereum,scam,medium,"privatix.live"
0x8dcdb7fc9f541825ba57fb47d5204317fc609590,ethereum,scam,medium,"storrntoken.com"
0xef6805af393c34fe772f8d827a5d26685215612a,ethereum,scam,medium,"stormtokens.net"
0x62404BFB3e1c464f17e3AF0c139e39D0703ae4A1,ethereum,scam,medium,"myetereumwallet.com"
0x9A95f2Ca24d1dCb01048E0623f63F9D174237dEb,ethereum,scam,medium,"stormstoken.com"
0x071cf579507DD0661845694F709E68CF7Ea506a4,ethereum,scam,medium,"privatix.pro"
0x1b42BF30CD988Ad20500cE47ccE52098576Ec2a2,ethereum,scam,medium,"raiden.online"
0xa2896b45f8bD313B777F1027724da1b5F2205A58,ethereum,scam,medium,"stormtoken.cc"
0x1aef1E14108786e0B049f37758529d866cc3c7e6,ethereum,scam,medium,"privatix.top"
0xab215957873deadd9512fbde29e6c12bea1dd1a1,ethereum,scam,medium,"block-v.io"
0xe10C24cA7bf18640FcB35E059919348891922a3b,ethereum,scam,medium,"stormtoken.site"
0xb9AE74bEafE4025cC0fCfB5e190169F2D7F0b563,ethereum,scam,medium,"artoken.co"
0x897757CbA67EADB66d40e45C6748E27D0E67b52a,ethereum,scam,medium,"raidens.network"
0x09faf25e57abd0a401bb5a2341d7f926c389f8d1,ethereum,scam,medium,"ripiocerdit.network"
0x3853ba76ec6ae97818e2d0e0839c9eda6c396690,ethereum,scam,medium,"shapishift.io"
0x33f6eE23eE223c4558a95bF4C0e9f5eD21e06319,ethereum,scam,medium,"ico.ripiocredits.com"
0x501577Cd4865D7D50664a1519A79f1c0E7069154,ethereum,scam,medium,"ripiocredit.net"
0x22374A2E9E19bcea56E64F9De3329670CD1a458c,ethereum,scam,medium,"senstoken.com"
0x619f18aEC5f8EeF483fbfe654a269f1186ddA915,ethereum,scam,medium,"riaden.network"
0x85704b506E10b10D714eAd28CdE947bAA58F0EA4,ethereum,scam,medium,"ripiocreditnetwork.co"
0xA35e3534917E471540345733B8f23e7bAd54681b,ethereum,scam,medium,"dentacoin.in"
