address,chain,type,confidence,evidence
DefcyKc4yAjRsCLZjdxWuSUzVohXtLna9g22y3pBCm2z,solana,scam,high,"Meteora_Kelsier_blacklist"
Gr3eiFhPfLAaA4SSHYqan8hcBB9dHLxRC176tfRtS4eb,solana,scam,high,"Meteora_Kelsier_blacklist"
2NHGzdMGW4Zoe4Szypj3QpQuZR2mq3qRgQk6ek1KkH7V,solana,scam,high,"Meteora_Kelsier_blacklist"
13X42NiMGh9hRRFUZEnM8dwauZbHNXqu11TAq9LYYki2,solana,scam,high,"Meteora_Kelsier_blacklist"
HyzGo2wCce9oiRfz1ox9DJZB63gjn8TAbcv819XZmz8Q,solana,scam,high,"Meteora_Kelsier_blacklist"
7qN8RpRpqgQf1gH6pE11vCrWfSH6t9WGZqepR33g5ao7,solana,scam,high,"Meteora_Kelsier_blacklist"
G5nxEXuFMfV74DSnsrSatqCW32F34XUnBeq3PfDS7w5E,solana,scam,high,"Meteora_Kelsier_blacklist"
8va31NrTqLLnTcZ4FHDx68BET9nFY7XaGobidSHMPcCE,solana,scam,high,"Meteora_Kelsier_blacklist"
BXcqm8rcfv4DDck5vvhJA5y1tf461cM5a5bcfGw7TpUT,solana,scam,high,"Meteora_Kelsier_blacklist"
AnBLHAFf4ta8rQTYDUsoNpys64xCATRJ8D7R537q2Rqu,solana,scam,high,"Meteora_Kelsier_blacklist"
hKDWCErDebjF19Y8crpWJLryvEtV4kncKxwBTV8fq7K,solana,scam,high,"Meteora_Kelsier_blacklist"
Ciani8inhuHGRr78K2zdhVWZoXjmVxpC9LPnZu5dpu6J,solana,scam,high,"Meteora_Kelsier_blacklist"
3obwPY8GPnCYp3SmVcuMwdivUCUpX9TJKTa2iDzzKzFF,solana,scam,high,"Meteora_Kelsier_blacklist"
BdBCcBseQyoiCh8y24DSRuuLvRbGsTP5Uup4T8iktjQr,solana,scam,high,"Meteora_Kelsier_blacklist"
Z8NrYPUhhLGRXhx3K3XPyWssAdBGq6b21rbhWmbQnb7,solana,scam,high,"Meteora_Kelsier_blacklist"
DJZohZ5bF5qSfsHae3smJMg9Y3bQ6HJeu7UStqZ3rwfS,solana,scam,high,"Meteora_Kelsier_blacklist"
569m2HS4M1RTUeo7SKyyrA6FJMhvNwVi7daYHvWNgHL1,solana,scam,high,"Meteora_Kelsier_blacklist"
AfaYmzaAaJs5z5BABPGW8ijT1JyGdk59gFvbv36tXvQM,solana,scam,high,"Meteora_Kelsier_blacklist"
5Vf3vme4jVNZVFj5s5KRydPbbgw45brFE35iAEmvkdch,solana,scam,high,"Meteora_Kelsier_blacklist"
AuFT4SY5wh4UyGpeFPcvB9C2vqNFmdwVGEczQVcF4CMf,solana,scam,high,"Meteora_Kelsier_blacklist"
EM49aTkEUSwBziX6fKGwLVCtFEqVUJqTSMMEC9iYcJNt,solana,scam,high,"Meteora_Kelsier_blacklist"
3w54vu99nW8RZr5YfDnYBAYPgsUY9fsWPWm5iUndRWmW,solana,scam,high,"Meteora_Kelsier_blacklist"
BjaXVxiJpJhki8xWvvBhT3eZSNuypT9WopQ5R1JuFnpT,solana,scam,high,"Meteora_Kelsier_blacklist"
DqqgYwPZ2cV9sGiuX1HVYGrz4V2xTL66ERMYMiRDUpLH,solana,scam,high,"Meteora_Kelsier_blacklist"
47YhCmz4czZxqRSx5PeGE3pYy2YLpZfmYdwuWvRHc4SY,solana,scam,high,"Meteora_Kelsier_blacklist"
6uiPsbvaTn3G4xdNzDuzuhEi9X92GgMumy1xQMqx6SJ6,solana,scam,high,"Meteora_Kelsier_blacklist"
5AJVX63jfxjSNqCznrKtQCNitVU8go3ipwE3r2y6GbYA,solana,scam,high,"Meteora_Kelsier_blacklist"
eRzHQ84oTdX5mfHJdnF3QZYKrrEGZBGgBK32pyQk8Vz,solana,scam,high,"Meteora_Kelsier_blacklist"
7v252izhgEoCMoUMBqa7H2e8RNBXf5choGvvpjMGGdw4,solana,scam,high,"Meteora_Kelsier_blacklist"
FrzNdh2QrEDQDKocT5oAkE7Dur4Ct7hGE2PksCZYFmSb,solana,scam,high,"Meteora_Kelsier_blacklist"
GiV2uU8QBPyi27rVNf4SLSWTYkbg6BnbgYHmtSQnfVF3,solana,scam,high,"Meteora_Kelsier_blacklist"
DokXQ6tdZH7JEaowd55QhuvYuudatPPGmTnohwVN95Y2,solana,scam,high,"Meteora_Kelsier_blacklist"
3G8wUc5pCrEqCYRR7zUgmpUey6EwmfqttdXk1LYKL9Vg,solana,scam,high,"Meteora_Kelsier_blacklist"
7h9AyxycSnBrHZuJtaJX9mBodnsJKhVP1AH2CcHUdSE2,solana,scam,high,"Meteora_Kelsier_blacklist"
7B3zZsrEqBtKNiKwuYwPi3TjK3goGDSWezkDtvVnExtB,solana,scam,high,"Meteora_Kelsier_blacklist"
FFPLD7ZtrkG2qcahBArmNS3Fk6CNDQTGTTbsD7cNNDD2,solana,scam,high,"Meteora_Kelsier_blacklist"
63qWZozKit1QenSZR1wfi4eng1QYk9mygaiddpsdhPB5,solana,scam,high,"Meteora_Kelsier_blacklist"
4JSZF6PBhoAyZyLP9Pmi5DFsLWzzahSNDKXWa6HQ4oU6,solana,scam,high,"Meteora_Kelsier_blacklist"
6VzdmM6MwViBAVwtP376khTZzNWfB4rETRgGamfetLvx,solana,scam,high,"Meteora_Kelsier_blacklist"
6kGee6sHfN9pSGLxKfqSjSaD9P3wbZTdk8Gj91i1cZDn,solana,scam,high,"Meteora_Kelsier_blacklist"
Lyoyrr5C55y8bo3BbAAoecyHzNgU4hjexspsMK4hTUF,solana,scam,high,"Meteora_Kelsier_blacklist"
Dyt3FUbPJaQxmP83KjnP3qnESHcevv6dL8w9DYqff6fD,solana,scam,high,"Meteora_Kelsier_blacklist"
