address,chain,type,confidence,evidence
155dDX3rWoNsY4aiJFbsu6wLB91c2J2Ws5BgMfJKyM1eGnkS,polkadot,phishing,high,"polkadot-js_phishing"
14FscqFT8S8W8emC5294cEpDctgAucJW7C99mpxS4cucpHoA,polkadot,phishing,high,"polkadot-js_phishing"
16UZJxDhtiCDhDG9o8txNQRAJLMPDNSJPkactNf9X99HXfuP,polkadot,phishing,high,"polkadot-js_phishing"
112JcwQP2hKuJGPnuet9zUCBAZw9P7ZnbcZ4LcZJYS5ToewA,polkadot,phishing,high,"polkadot-js_phishing"
12bf3vc4GerXhA1judJg3gzNQPb81BN3QZxXd1ixKx9ihVxE,polkadot,phishing,high,"polkadot-js_phishing"
12bVcBhfVK25HCnkmigbCv1EKWC1crH8gvCJD7o5oUX1DuZ2,polkadot,phishing,high,"polkadot-js_phishing"
12LCZkGc1wk94H3fPFJKhQXM5X2wKT7N5GsU4zbHRh1CAW73,polkadot,phishing,high,"polkadot-js_phishing"
12NMqf4GKChEYizka342HuQSkMf8Wybp6yayd29JEuReZdWH,polkadot,phishing,high,"polkadot-js_phishing"
12nRZPRGAspxEhEn5bvciAZA6gnF3ZV1TkP3jw1mkPC5qqg7,polkadot,phishing,high,"polkadot-js_phishing"
12pWT3gucQsDcowWHmBjjTfehAbxaW7r1P7gtEn2Bb8SLDCR,polkadot,phishing,high,"polkadot-js_phishing"
135sM71tUJfcw7VdmtrcNxS4sJQpYpLvhETC1ssSHYf2G2i3,polkadot,phishing,high,"polkadot-js_phishing"
13GTmKneXcgN1XynPdo3kAG5jnynaWhLfap5EHpg7o26uu9C,polkadot,phishing,high,"polkadot-js_phishing"
13QXv3NpZRPtKeGmu2nvGv5Hmkb2MXkwSPSahiBFnKwcCi77,polkadot,phishing,high,"polkadot-js_phishing"
13tz7tfJ2Jy3QsRkB2K8Q5YbWwzW7Aq6qtJ9ydQysnTKndS7,polkadot,phishing,high,"polkadot-js_phishing"
13VGKZZdH9qNQGFwqyjSdaKZaLfEjaQgh1Q2sU9msp8gBWQT,polkadot,phishing,high,"polkadot-js_phishing"
14dvUysTRvcNrxUK5YFcQogR8dRKoumXBW6icDMVsjigyPPN,polkadot,phishing,high,"polkadot-js_phishing"
14JSqAwhSbEyqJ3crggGu8Hau4NHyANxxNexbpuxhgjCj5wy,polkadot,phishing,high,"polkadot-js_phishing"
14SmRq3PLjMEYgUg52gaZAi3trKnsN6Sj5D9bym2T8AGzaQE,polkadot,phishing,high,"polkadot-js_phishing"
14SN7GmRXkw3x7cchZ43U9VMzVd2SytvfkujasVmHQuuLxVx,polkadot,phishing,high,"polkadot-js_phishing"
14uiVMLa7LZtWdXBnpsNHkmXo2vczb3FTecyZbnAXnDCPezX,polkadot,phishing,high,"polkadot-js_phishing"
14zDEwLKAmdu8FC7LmvixjPFi3z2qZ9JMQg3oZXGuGhnCTeJ,polkadot,phishing,high,"polkadot-js_phishing"
15J37QcJg4FZVX5pWMju9CYutcgYpoXVjCPwRNUMuZXEqXvh,polkadot,phishing,high,"polkadot-js_phishing"
15m5EnpV8HUg3imsSfNPt2Si5sWbTSPz9fYvBBqm9omTQkUX,polkadot,phishing,high,"polkadot-js_phishing"
15S4BfNB4yWAbGt1Sbktn5jyA6kZdWaB7UiWmZ3G2wfGQ2NN,polkadot,phishing,high,"polkadot-js_phishing"
16dPSsswzqVmN9xYeMjuU9F49cNyH8ANz5LaUR7T9vfX5yGN,polkadot,phishing,high,"polkadot-js_phishing"
16JPQtrXF7UdpvX1CWY7FY2HpLQqUZoocENj5NPMTVFquMVv,polkadot,phishing,high,"polkadot-js_phishing"
16kgt6CnhgwuDd8FLdhnNU64uHTkKaPF8b6QXwbZTu8wbVBA,polkadot,phishing,high,"polkadot-js_phishing"
1qcVj2cs5PDTbpqmW2LS6Tqvc6hb6p4cwSAjHhcrkKQ51Hi,polkadot,phishing,high,"polkadot-js_phishing"
1xCofPRX3CgeAa2TeHvpeiYHncYsaQz2c3Cb8P6vT3Yb6rv,polkadot,phishing,high,"polkadot-js_phishing"
1xupErVtgssjSmTcZ9p9yc3VLEvvrQbTQ3F5wpahW2KftDF,polkadot,phishing,high,"polkadot-js_phishing"
13KJyB7gTuEQfLbzSQ1HBg4GPSJUZ7Q7t9RGKF1LRFjSHFkD,polkadot,phishing,high,"polkadot-js_phishing"
13Ld2R3YQg5ztyevreJbFxEWqYw55tFzrPwu1C5ucgpFWGiL,polkadot,phishing,high,"polkadot-js_phishing"
15JbkRjYVSg1vWEF9J1HLu6GGUvnhv1XacGPWosbg3AFNojh,polkadot,phishing,high,"polkadot-js_phishing"
15Z7MdMM71vHTL7jNmNhm5xCUG5szJuyccGr3p5uzZgkz6Lv,polkadot,phishing,high,"polkadot-js_phishing"
15ZTLVhKWpT7bkGFkqkdjA1Rci2Dtq7B6UyC4Dj11NWo2fgh,polkadot,phishing,high,"polkadot-js_phishing"
16nC1MhdhJFqazSgZFWHBhKgrkk4qYvD1y5W3UuqxADcsEJ9,polkadot,phishing,high,"polkadot-js_phishing"
12jo5dBMedbma3XcU6Grj7m6ckeupjg4aj9Q1oFyK3Z7oh3,polkadot,phishing,high,"polkadot-js_phishing"
12aCLUsyTCWn5Dzf5wxuuRm93dx9rkAF5rqw9zBDTV5NSY1E,polkadot,phishing,high,"polkadot-js_phishing"
16haZsnTpsAK3PaqRJJE16Zasq9WkpovgUCdQGStKHMskLdp,polkadot,phishing,high,"polkadot-js_phishing"
